Shot 3: Jarak=0.00, Desnivel=0.00, Fator=49572, Wind=142, Sudut=70.0, Power=-2146826281.00
Shot 4: Jarak=0.00, Desnivel=0.00, Fator=49572, Wind=142, Sudut=70.0, Power=-2146826281.00
Shot 5: Jarak=0.00, Desnivel=0.00, Fator=49572, Wind=142, Sudut=70.0, Power=-2146826281.00
Shot 1: Jarak=0.00, Desnivel=0.00, Fator=38409, Wind=0, Sudut=70.0, Power=-2146826281.00
Shot 2: Jarak=0.00, Desnivel=0.00, Fator=78, Wind=0, Sudut=65.0, Power=-2146826281.00
Shot 3: Jarak=3.70, Desnivel=-0.17, Fator=16, Wind=12, Sudut=75.0, Power=1.72
Shot 4: Jarak=7.86, Desnivel=-0.29, Fator=164, Wind=13, Sudut=75.0, Power=4.18
Shot 5: Jarak=7.74, Desnivel=-0.15, Fator=164, Wind=12, Sudut=64.0, Power=2.75
Shot 6: Jarak=7.74, Desnivel=0.17, Fator=164, Wind=12, Sudut=64.0, Power=2.76
Shot 7: Jarak=7.74, Desnivel=0.17, Fator=164, Wind=12, Sudut=64.0, Power=2.76
Shot 8: Jarak=15.15, Desnivel=-0.46, Fator=278, Wind=7, Sudut=65.0, Power=3.52
Shot 9: Jarak=15.15, Desnivel=-0.46, Fator=278, Wind=6, Sudut=65.0, Power=3.51
Shot 10: Jarak=15.15, Desnivel=-0.46, Fator=278, Wind=6, Sudut=65.0, Power=3.51
Shot 11: Jarak=15.15, Desnivel=-0.46, Fator=278, Wind=6, Sudut=65.0, Power=3.51
Shot 12: Jarak=15.15, Desnivel=-0.46, Fator=278, Wind=6, Sudut=65.0, Power=3.51
Shot 13: Jarak=15.15, Desnivel=-0.46, Fator=278, Wind=6, Sudut=65.0, Power=3.51
Shot 14: Jarak=15.15, Desnivel=-0.46, Fator=278, Wind=6, Sudut=65.0, Power=3.51
Shot 15: Jarak=15.10, Desnivel=-0.43, Fator=278, Wind=6, Sudut=65.0, Power=3.51
Shot 16: Jarak=15.10, Desnivel=-0.43, Fator=278, Wind=6, Sudut=65.0, Power=3.51
Shot 17: Jarak=15.10, Desnivel=-0.43, Fator=278, Wind=6, Sudut=65.0, Power=3.51
Shot 18: Jarak=15.10, Desnivel=-0.43, Fator=278, Wind=6, Sudut=65.0, Power=3.51
Shot 19: Jarak=15.10, Desnivel=-0.43, Fator=278, Wind=6, Sudut=65.0, Power=3.51
Shot 20: Jarak=15.10, Desnivel=-0.43, Fator=278, Wind=6, Sudut=65.0, Power=3.51
Shot 21: Jarak=15.10, Desnivel=-0.43, Fator=278, Wind=6, Sudut=65.0, Power=3.51
Shot 22: Jarak=15.10, Desnivel=-0.43, Fator=278, Wind=6, Sudut=65.0, Power=3.51
Shot 23: Jarak=15.10, Desnivel=-0.43, Fator=278, Wind=6, Sudut=65.0, Power=3.51
Shot 24: Jarak=15.10, Desnivel=-0.43, Fator=278, Wind=6, Sudut=65.0, Power=3.51
Shot 25: Jarak=14.96, Desnivel=-0.52, Fator=278, Wind=5, Sudut=65.0, Power=3.48
Shot 26: Jarak=14.96, Desnivel=-0.52, Fator=278, Wind=5, Sudut=65.0, Power=3.48
Shot 27: Jarak=14.96, Desnivel=-0.52, Fator=278, Wind=5, Sudut=65.0, Power=3.48
Shot 28: Jarak=14.96, Desnivel=-0.52, Fator=278, Wind=5, Sudut=65.0, Power=3.48
Shot 29: Jarak=14.96, Desnivel=-0.52, Fator=278, Wind=5, Sudut=65.0, Power=3.48
Shot 30: Jarak=14.96, Desnivel=-0.52, Fator=278, Wind=5, Sudut=65.0, Power=3.48
Shot 31: Jarak=14.96, Desnivel=-0.52, Fator=278, Wind=5, Sudut=65.0, Power=3.48
Shot 32: Jarak=14.96, Desnivel=-0.52, Fator=278, Wind=5, Sudut=65.0, Power=3.48
Shot 33: Jarak=14.96, Desnivel=-0.52, Fator=278, Wind=5, Sudut=65.0, Power=3.48
Shot 34: Jarak=14.96, Desnivel=-0.52, Fator=278, Wind=5, Sudut=65.0, Power=3.48
Shot 35: Jarak=14.96, Desnivel=-0.52, Fator=278, Wind=7, Sudut=65.0, Power=3.50
Shot 36: Jarak=14.35, Desnivel=-1.30, Fator=278, Wind=6, Sudut=65.0, Power=3.37
Shot 37: Jarak=5.78, Desnivel=-0.85, Fator=278, Wind=6, Sudut=70.0, Power=2.32
Shot 38: Jarak=5.78, Desnivel=-0.85, Fator=278, Wind=6, Sudut=75.0, Power=2.63
